gene_id,group
ENSG00000263563,upregulated
ENSG00000140839,upregulated
ENSG00000145794,upregulated
ENSG00000135924,upregulated
ENSG00000272869,upregulated
ENSG00000135111,upregulated
ENSG00000258153,upregulated
ENSG00000158482,upregulated
ENSG00000231871,upregulated
ENSG00000109390,upregulated
ENSG00000198743,upregulated
ENSG00000258645,upregulated
ENSG00000103241,upregulated
ENSG00000246985,upregulated
ENSG00000274020,upregulated
ENSG00000204681,upregulated
ENSG00000163219,upregulated
ENSG00000205670,upregulated
ENSG00000263809,upregulated
ENSG00000172530,upregulated
ENSG00000103326,upregulated
ENSG00000198925,upregulated
ENSG00000107949,upregulated
ENSG00000141873,upregulated
ENSG00000230735,upregulated
ENSG00000271894,upregulated
ENSG00000260280,upregulated
ENSG00000205209,downregulated
ENSG00000169908,downregulated
ENSG00000231952,downregulated
ENSG00000053254,downregulated
ENSG00000196345,downregulated
ENSG00000142173,downregulated
ENSG00000274810,downregulated
ENSG00000278782,downregulated
ENSG00000119392,downregulated
ENSG00000128283,downregulated
ENSG00000173894,downregulated
ENSG00000131697,downregulated
ENSG00000203705,downregulated
ENSG00000101752,downregulated
ENSG00000223875,downregulated
ENSG00000128383,downregulated
ENSG00000070444,downregulated
ENSG00000260644,downregulated
ENSG00000130584,downregulated
ENSG00000174837,downregulated
ENSG00000141127,downregulated
ENSG00000168243,downregulated
ENSG00000204946,downregulated
ENSG00000068097,downregulated
ENSG00000224271,downregulated
ENSG00000186868,downregulated
ENSG00000115525,downregulated
ENSG00000198542,downregulated
ENSG00000110031,downregulated
ENSG00000112357,downregulated
ENSG00000114948,downregulated
ENSG00000231421,downregulated
ENSG00000180881,downregulated
ENSG00000005156,downregulated
ENSG00000084112,downregulated
ENSG00000188177,downregulated
ENSG00000075790,downregulated
ENSG00000267526,downregulated
ENSG00000164125,downregulated
ENSG00000257046,downregulated
ENSG00000085117,downregulated
ENSG00000123992,downregulated
ENSG00000101311,downregulated
ENSG00000248592,downregulated
ENSG00000103227,downregulated
ENSG00000172765,downregulated
ENSG00000226990,downregulated
ENSG00000232759,downregulated
ENSG00000107902,downregulated
ENSG00000283676,downregulated
ENSG00000128039,downregulated
ENSG00000250634,downregulated
ENSG00000268696,downregulated
ENSG00000168405,downregulated
ENSG00000204410,downregulated
ENSG00000267199,downregulated
ENSG00000228801,downregulated
ENSG00000171408,downregulated
ENSG00000066629,downregulated
ENSG00000257526,downregulated
ENSG00000225205,downregulated
ENSG00000107829,downregulated
ENSG00000202408,downregulated
ENSG00000164627,downregulated
ENSG00000160746,downregulated
ENSG00000139154,upregulated
ENSG00000175198,downregulated
ENSG00000237813,downregulated
ENSG00000152377,upregulated
ENSG00000141068,upregulated
ENSG00000237094,downregulated
ENSG00000163738,upregulated
ENSG00000115935,downregulated
ENSG00000197594,downregulated
ENSG00000166024,downregulated
ENSG00000171723,downregulated
ENSG00000155792,downregulated
ENSG00000083123,downregulated
ENSG00000159433,downregulated
ENSG00000198740,downregulated
ENSG00000115648,downregulated
ENSG00000088367,downregulated
ENSG00000107798,downregulated
ENSG00000158623,downregulated
ENSG00000171055,downregulated
ENSG00000175764,downregulated
ENSG00000128805,downregulated
ENSG00000163746,upregulated
ENSG00000200169,downregulated
ENSG00000278259,downregulated
ENSG00000187951,downregulated
ENSG00000130640,downregulated
ENSG00000153558,downregulated
ENSG00000166938,downregulated
ENSG00000064309,downregulated
ENSG00000068489,downregulated
ENSG00000167291,downregulated
ENSG00000129562,upregulated
ENSG00000213918,upregulated
ENSG00000116675,downregulated
ENSG00000198399,upregulated
ENSG00000167264,downregulated
ENSG00000146409,downregulated
ENSG00000125952,downregulated
ENSG00000183840,downregulated
ENSG00000170006,downregulated
ENSG00000116120,downregulated
ENSG00000105750,downregulated
ENSG00000142875,downregulated
ENSG00000104695,upregulated
ENSG00000276418,downregulated
ENSG00000176915,upregulated
ENSG00000107105,downregulated
ENSG00000115827,downregulated
ENSG00000231290,downregulated
ENSG00000172927,downregulated
ENSG00000254526,downregulated
ENSG00000094631,downregulated
ENSG00000255730,downregulated
ENSG00000166377,downregulated
ENSG00000175806,downregulated
ENSG00000136881,upregulated
ENSG00000262633,downregulated
ENSG00000120963,upregulated
ENSG00000111727,downregulated
ENSG00000172731,downregulated
ENSG00000010803,downregulated
ENSG00000141503,downregulated
ENSG00000146426,downregulated
ENSG00000159788,downregulated
ENSG00000091157,downregulated
ENSG00000013523,downregulated
ENSG00000100068,upregulated
ENSG00000165661,downregulated
ENSG00000165868,downregulated
ENSG00000157823,downregulated
ENSG00000224976,downregulated
ENSG00000156466,upregulated
ENSG00000013441,upregulated
ENSG00000068079,upregulated
ENSG00000142459,downregulated
ENSG00000170917,downregulated
ENSG00000172292,upregulated
ENSG00000141429,downregulated
ENSG00000111450,downregulated
ENSG00000258989,upregulated
ENSG00000252759,upregulated
ENSG00000164879,upregulated
ENSG00000134982,downregulated
ENSG00000165406,downregulated
ENSG00000124181,downregulated
ENSG00000273840,downregulated
ENSG00000197646,downregulated
ENSG00000259736,downregulated
ENSG00000166510,downregulated
ENSG00000040199,downregulated
ENSG00000132670,downregulated
ENSG00000063169,downregulated
ENSG00000184792,downregulated
ENSG00000081087,upregulated
ENSG00000230590,downregulated
ENSG00000138380,downregulated
ENSG00000184939,downregulated
ENSG00000113916,upregulated
ENSG00000159110,downregulated
ENSG00000254349,downregulated
ENSG00000258941,downregulated
ENSG00000099992,downregulated
ENSG00000226864,upregulated
ENSG00000112242,downregulated
ENSG00000255229,upregulated
ENSG00000213523,upregulated
ENSG00000205336,downregulated
ENSG00000240682,upregulated
ENSG00000204856,downregulated
ENSG00000107331,downregulated
ENSG00000213973,downregulated
ENSG00000187840,downregulated
ENSG00000153936,downregulated
ENSG00000153395,downregulated
ENSG00000259129,downregulated
ENSG00000134330,downregulated
ENSG00000275496,upregulated
ENSG00000276077,upregulated
ENSG00000277067,upregulated
ENSG00000272657,downregulated
ENSG00000067057,downregulated
ENSG00000198707,downregulated
ENSG00000105829,upregulated
ENSG00000100003,downregulated
ENSG00000122694,downregulated
ENSG00000116525,downregulated
ENSG00000263528,downregulated
ENSG00000265590,upregulated
ENSG00000213742,downregulated
ENSG00000187720,downregulated
ENSG00000003436,downregulated
ENSG00000196776,downregulated
ENSG00000026103,downregulated
ENSG00000272104,upregulated
ENSG00000104805,upregulated
ENSG00000107758,downregulated
ENSG00000023516,downregulated
ENSG00000153933,upregulated
ENSG00000226562,upregulated
ENSG00000135931,downregulated
ENSG00000266504,downregulated
ENSG00000138463,downregulated
ENSG00000158296,downregulated
ENSG00000109184,downregulated
ENSG00000230067,upregulated
ENSG00000283341,downregulated
ENSG00000092208,downregulated
ENSG00000204370,upregulated
ENSG00000239665,upregulated
ENSG00000134825,upregulated
ENSG00000159079,upregulated
ENSG00000166796,downregulated
ENSG00000163950,upregulated
ENSG00000215790,downregulated
ENSG00000263072,upregulated
ENSG00000115594,downregulated
ENSG00000049769,upregulated
ENSG00000172572,downregulated
ENSG00000166557,downregulated
ENSG00000102974,downregulated
ENSG00000151376,downregulated
ENSG00000005436,downregulated
ENSG00000158402,downregulated
ENSG00000173264,upregulated
ENSG00000257093,downregulated
ENSG00000157429,downregulated
ENSG00000163637,upregulated
ENSG00000077713,downregulated
ENSG00000140025,downregulated
ENSG00000081791,downregulated
ENSG00000138604,downregulated
ENSG00000140943,downregulated
ENSG00000176826,downregulated
ENSG00000242220,upregulated
ENSG00000141337,downregulated
ENSG00000105656,downregulated
ENSG00000070366,downregulated
ENSG00000197959,downregulated
ENSG00000283411,downregulated
ENSG00000053524,downregulated
ENSG00000178567,upregulated
ENSG00000173436,downregulated
ENSG00000231312,downregulated
ENSG00000197536,downregulated
ENSG00000180822,downregulated
ENSG00000088340,upregulated
ENSG00000196747,downregulated
ENSG00000210151,upregulated
ENSG00000038532,downregulated
ENSG00000120029,downregulated
ENSG00000187837,downregulated
ENSG00000068650,downregulated
ENSG00000180354,downregulated
ENSG00000178125,upregulated
ENSG00000260167,upregulated
ENSG00000272325,downregulated
ENSG00000251503,upregulated
ENSG00000179715,downregulated
ENSG00000215126,downregulated
ENSG00000277991,upregulated
ENSG00000091622,downregulated
ENSG00000172456,downregulated
ENSG00000165630,upregulated
ENSG00000265818,downregulated
ENSG00000186063,downregulated
ENSG00000154059,downregulated
ENSG00000133943,downregulated
ENSG00000065621,upregulated
ENSG00000154240,downregulated
ENSG00000197150,upregulated
ENSG00000196873,downregulated
ENSG00000232593,downregulated
ENSG00000139629,downregulated
ENSG00000075702,downregulated
ENSG00000141447,upregulated
ENSG00000160796,downregulated
ENSG00000126091,downregulated
ENSG00000162430,downregulated
ENSG00000186567,upregulated
ENSG00000143870,upregulated
ENSG00000124596,downregulated
ENSG00000159423,downregulated
ENSG00000118600,downregulated
ENSG00000188603,upregulated
ENSG00000023608,upregulated
ENSG00000259112,upregulated
ENSG00000188690,downregulated
ENSG00000164845,downregulated
ENSG00000254995,downregulated
ENSG00000133027,downregulated
ENSG00000263307,upregulated
ENSG00000130856,downregulated
ENSG00000113742,upregulated
ENSG00000130702,upregulated
ENSG00000175193,downregulated
ENSG00000223725,downregulated
ENSG00000230666,upregulated
ENSG00000087303,upregulated
ENSG00000088280,downregulated
ENSG00000069399,downregulated
ENSG00000123836,downregulated
ENSG00000258825,downregulated
ENSG00000146776,downregulated
ENSG00000221926,upregulated
ENSG00000181938,upregulated
ENSG00000119900,downregulated
ENSG00000147145,downregulated
ENSG00000163684,upregulated
ENSG00000188428,downregulated
ENSG00000276256,upregulated
ENSG00000273542,downregulated
ENSG00000147996,downregulated
ENSG00000259628,downregulated
ENSG00000089063,upregulated
ENSG00000134686,downregulated
ENSG00000143093,downregulated
ENSG00000180573,upregulated
ENSG00000054116,upregulated
ENSG00000124942,downregulated
ENSG00000127980,downregulated
ENSG00000104904,upregulated
ENSG00000203485,downregulated
ENSG00000258301,downregulated
ENSG00000089041,downregulated
ENSG00000162929,downregulated
ENSG00000280571,upregulated
ENSG00000214338,downregulated
ENSG00000242731,downregulated
ENSG00000111271,upregulated
ENSG00000162458,downregulated
ENSG00000159593,downregulated
ENSG00000223511,downregulated
ENSG00000105499,upregulated
ENSG00000146670,upregulated
ENSG00000277723,downregulated
ENSG00000120256,downregulated
ENSG00000162378,downregulated
ENSG00000102098,downregulated
ENSG00000167562,upregulated
ENSG00000169905,upregulated
ENSG00000119599,downregulated
ENSG00000110090,downregulated
ENSG00000256966,downregulated
ENSG00000117602,downregulated
ENSG00000057468,upregulated
ENSG00000015133,downregulated
ENSG00000175575,downregulated
ENSG00000224411,upregulated
ENSG00000275793,upregulated
ENSG00000249637,upregulated
ENSG00000267261,upregulated
ENSG00000198952,downregulated
ENSG00000122068,upregulated
ENSG00000243927,upregulated
ENSG00000100916,upregulated
ENSG00000272993,upregulated
ENSG00000173209,upregulated
ENSG00000149260,downregulated
ENSG00000247970,downregulated
ENSG00000261064,downregulated
ENSG00000125378,upregulated
ENSG00000123843,downregulated
ENSG00000181090,downregulated
ENSG00000173933,downregulated
ENSG00000198598,downregulated
ENSG00000104442,downregulated
ENSG00000156026,upregulated
ENSG00000198053,upregulated
ENSG00000100426,downregulated
ENSG00000231966,upregulated
ENSG00000237149,upregulated
ENSG00000136828,downregulated
ENSG00000196268,upregulated
ENSG00000145002,downregulated
ENSG00000147679,upregulated
ENSG00000146576,upregulated
ENSG00000073614,upregulated
ENSG00000108774,upregulated
ENSG00000268858,upregulated
ENSG00000127191,upregulated
ENSG00000173706,downregulated
ENSG00000141391,downregulated
ENSG00000258691,upregulated
ENSG00000215193,downregulated
ENSG00000112659,upregulated
ENSG00000151014,upregulated
ENSG00000256591,upregulated
ENSG00000138279,downregulated
ENSG00000155970,downregulated
ENSG00000111731,downregulated
ENSG00000106397,upregulated
ENSG00000073331,downregulated
ENSG00000267175,upregulated
ENSG00000020922,downregulated
ENSG00000227543,upregulated
ENSG00000152495,downregulated
ENSG00000184220,downregulated
ENSG00000136108,downregulated
ENSG00000274349,downregulated
ENSG00000070950,upregulated
ENSG00000120662,upregulated
ENSG00000180758,downregulated
ENSG00000100505,downregulated
ENSG00000118873,downregulated
ENSG00000178913,downregulated
ENSG00000198663,downregulated
ENSG00000170448,downregulated
ENSG00000054983,upregulated
ENSG00000197442,upregulated
ENSG00000173801,downregulated
ENSG00000249859,downregulated
ENSG00000133313,downregulated
ENSG00000106853,downregulated
ENSG00000184949,upregulated
ENSG00000188010,upregulated
ENSG00000237296,downregulated
ENSG00000273983,upregulated
ENSG00000166548,downregulated
ENSG00000231501,upregulated
ENSG00000197056,downregulated
ENSG00000169062,downregulated
ENSG00000254403,downregulated
ENSG00000134287,downregulated
ENSG00000214954,upregulated
ENSG00000150687,downregulated
ENSG00000140030,downregulated
ENSG00000167578,upregulated
ENSG00000105854,downregulated
ENSG00000113621,downregulated
ENSG00000188092,upregulated
ENSG00000124575,downregulated
ENSG00000112715,upregulated
ENSG00000115902,upregulated
ENSG00000117480,upregulated
ENSG00000175536,downregulated
ENSG00000272162,downregulated
ENSG00000124587,upregulated
ENSG00000181163,downregulated
ENSG00000166532,downregulated
ENSG00000188659,upregulated
ENSG00000180953,upregulated
ENSG00000244005,upregulated
ENSG00000152404,upregulated
ENSG00000100077,downregulated
ENSG00000118894,downregulated
ENSG00000121101,upregulated
ENSG00000259207,downregulated
ENSG00000250988,upregulated
ENSG00000115541,upregulated
ENSG00000142675,upregulated
ENSG00000137992,downregulated
ENSG00000179523,upregulated
ENSG00000183137,downregulated
ENSG00000065615,upregulated
ENSG00000205853,upregulated
ENSG00000204778,downregulated
ENSG00000121940,downregulated
ENSG00000177674,downregulated
ENSG00000188735,downregulated
ENSG00000146425,downregulated
ENSG00000261716,upregulated
ENSG00000255292,upregulated
ENSG00000089775,downregulated
ENSG00000172432,upregulated
ENSG00000128311,downregulated
ENSG00000255052,downregulated
ENSG00000206737,downregulated
ENSG00000236255,upregulated
ENSG00000103061,upregulated
ENSG00000160570,upregulated
ENSG00000140995,upregulated
ENSG00000179148,upregulated
ENSG00000100399,upregulated
ENSG00000273294,downregulated
ENSG00000282246,upregulated
ENSG00000209082,upregulated
ENSG00000273269,upregulated
ENSG00000110315,downregulated
ENSG00000204389,upregulated
ENSG00000184378,upregulated
ENSG00000133816,downregulated
ENSG00000237491,upregulated
ENSG00000210112,upregulated
ENSG00000006837,upregulated
ENSG00000135605,downregulated
ENSG00000279289,upregulated
ENSG00000167920,upregulated
ENSG00000146433,downregulated
ENSG00000260862,downregulated
ENSG00000164751,upregulated
ENSG00000119013,upregulated
ENSG00000185825,upregulated
ENSG00000134262,upregulated
ENSG00000090006,downregulated
ENSG00000204516,upregulated
ENSG00000258052,upregulated
ENSG00000143420,upregulated
ENSG00000077312,upregulated
ENSG00000246922,upregulated
ENSG00000196204,upregulated
ENSG00000110060,upregulated
ENSG00000197779,downregulated
ENSG00000184635,downregulated
ENSG00000185222,upregulated
ENSG00000166436,downregulated
ENSG00000142528,upregulated
ENSG00000204520,upregulated
ENSG00000065029,downregulated
ENSG00000135392,upregulated
ENSG00000261386,upregulated
ENSG00000260035,upregulated
ENSG00000105929,downregulated
ENSG00000163808,downregulated
ENSG00000203880,downregulated
ENSG00000116138,downregulated
ENSG00000119280,upregulated
ENSG00000250548,upregulated
ENSG00000123342,upregulated
ENSG00000119048,upregulated
ENSG00000128731,downregulated
ENSG00000134007,upregulated
ENSG00000100028,upregulated
ENSG00000102802,downregulated
ENSG00000213465,downregulated
ENSG00000196782,downregulated
ENSG00000188938,upregulated
ENSG00000084234,upregulated
ENSG00000279010,upregulated
ENSG00000032742,downregulated
ENSG00000074219,downregulated
ENSG00000271551,upregulated
ENSG00000277775,downregulated
ENSG00000095397,upregulated
ENSG00000176393,downregulated
ENSG00000254485,upregulated
ENSG00000268455,downregulated
ENSG00000183246,upregulated
ENSG00000274600,upregulated
ENSG00000197763,downregulated
ENSG00000216937,downregulated
ENSG00000103657,downregulated
ENSG00000279691,upregulated
ENSG00000085662,upregulated
ENSG00000261857,upregulated
ENSG00000246889,upregulated
ENSG00000111696,downregulated
ENSG00000099326,upregulated
ENSG00000122966,downregulated
ENSG00000243970,upregulated
ENSG00000206573,upregulated
ENSG00000182253,upregulated
ENSG00000173085,downregulated
ENSG00000145882,downregulated
ENSG00000198331,downregulated
ENSG00000100401,upregulated
ENSG00000283512,upregulated
ENSG00000261172,upregulated
ENSG00000101546,downregulated
ENSG00000183763,upregulated
ENSG00000134780,downregulated
ENSG00000197976,upregulated
ENSG00000267314,downregulated
ENSG00000234494,downregulated
ENSG00000129292,downregulated
ENSG00000151445,upregulated
ENSG00000105287,upregulated
ENSG00000148660,downregulated
ENSG00000251669,downregulated
ENSG00000243410,downregulated
ENSG00000273295,downregulated
ENSG00000270067,upregulated
ENSG00000257767,upregulated
ENSG00000125247,downregulated
ENSG00000188321,upregulated
ENSG00000213625,downregulated
ENSG00000001167,upregulated
ENSG00000171604,downregulated
ENSG00000272146,upregulated
ENSG00000254743,downregulated
ENSG00000187097,downregulated
ENSG00000214331,downregulated
ENSG00000127564,upregulated
ENSG00000270136,upregulated
ENSG00000258667,upregulated
ENSG00000186523,downregulated
ENSG00000236760,downregulated
ENSG00000180245,upregulated
ENSG00000212789,upregulated
ENSG00000164220,downregulated
ENSG00000111348,downregulated
ENSG00000269837,downregulated
ENSG00000276368,downregulated
ENSG00000108590,upregulated
ENSG00000129691,downregulated
ENSG00000103264,downregulated
ENSG00000259753,upregulated
ENSG00000197813,downregulated
ENSG00000253540,downregulated
ENSG00000282855,upregulated
ENSG00000105255,downregulated
ENSG00000051108,upregulated
ENSG00000236889,upregulated
ENSG00000257923,downregulated
ENSG00000264596,upregulated
ENSG00000088854,downregulated
ENSG00000165417,downregulated
ENSG00000135823,upregulated
ENSG00000213599,upregulated
ENSG00000106305,downregulated
ENSG00000181798,downregulated
ENSG00000182979,downregulated
ENSG00000125695,downregulated
ENSG00000243444,upregulated
ENSG00000183579,downregulated
ENSG00000260852,upregulated
ENSG00000087502,downregulated
ENSG00000237188,downregulated
ENSG00000107020,downregulated
ENSG00000270149,downregulated
ENSG00000229320,upregulated
ENSG00000149257,upregulated
ENSG00000267108,downregulated
ENSG00000153291,upregulated
ENSG00000275714,downregulated
ENSG00000215256,downregulated
ENSG00000269966,upregulated
ENSG00000174886,downregulated
ENSG00000125046,downregulated
ENSG00000121579,upregulated
ENSG00000144810,downregulated
ENSG00000231429,upregulated
ENSG00000173540,upregulated
ENSG00000253966,downregulated
ENSG00000204650,upregulated
ENSG00000143363,upregulated
ENSG00000100380,upregulated
ENSG00000131152,downregulated
ENSG00000144134,upregulated
ENSG00000159363,downregulated
ENSG00000182054,downregulated
ENSG00000261697,downregulated
ENSG00000243156,downregulated
ENSG00000011638,upregulated
ENSG00000167604,downregulated
ENSG00000160551,downregulated
ENSG00000158406,upregulated
ENSG00000064933,downregulated
ENSG00000127804,downregulated
ENSG00000124549,upregulated
ENSG00000251379,downregulated
ENSG00000215068,upregulated
ENSG00000119655,downregulated
ENSG00000272655,upregulated
ENSG00000143384,upregulated
ENSG00000121680,upregulated
ENSG00000017260,upregulated
ENSG00000257489,downregulated
ENSG00000255256,downregulated
ENSG00000187479,upregulated
ENSG00000262246,downregulated
ENSG00000158710,downregulated
ENSG00000089639,downregulated
ENSG00000108733,upregulated
ENSG00000260911,upregulated
ENSG00000136295,downregulated
ENSG00000153234,upregulated
ENSG00000233237,upregulated
ENSG00000283149,upregulated
ENSG00000166592,upregulated
ENSG00000182324,upregulated
ENSG00000108773,upregulated
ENSG00000123143,downregulated
ENSG00000232995,downregulated
ENSG00000006062,downregulated
ENSG00000108591,upregulated
ENSG00000091947,upregulated
ENSG00000272734,upregulated
ENSG00000282772,upregulated
ENSG00000027075,upregulated
ENSG00000118655,upregulated
ENSG00000231113,downregulated
ENSG00000108448,upregulated
ENSG00000239653,downregulated
ENSG00000231154,upregulated
ENSG00000131480,upregulated
ENSG00000148450,downregulated
ENSG00000261599,downregulated
ENSG00000260413,upregulated
ENSG00000164430,upregulated
ENSG00000123975,upregulated
ENSG00000142046,downregulated
ENSG00000130962,downregulated
ENSG00000124641,upregulated
ENSG00000174276,upregulated
ENSG00000244754,upregulated
ENSG00000268439,upregulated
ENSG00000051009,downregulated
ENSG00000267058,upregulated
ENSG00000277918,downregulated
ENSG00000120438,upregulated
ENSG00000196826,downregulated
ENSG00000099810,downregulated
ENSG00000113719,downregulated
ENSG00000138675,upregulated
ENSG00000224541,upregulated
ENSG00000100784,downregulated
ENSG00000269481,upregulated
ENSG00000158716,downregulated
ENSG00000121931,upregulated
ENSG00000272369,downregulated
ENSG00000196754,downregulated
ENSG00000130518,downregulated
ENSG00000277619,upregulated
ENSG00000184254,downregulated
ENSG00000149016,upregulated
ENSG00000189149,upregulated
ENSG00000011028,downregulated
ENSG00000213859,upregulated
